mun,ano,rf_veiculo,rf,homicidio_doloso,lcd,estupro,id_municipio,pop,gm,gm_ano,tx_rf_veiculo,tx_rf,tx_homicidio_doloso,tx_lcd,tx_estupro,pre_treated,treat
Batatais,2001,37,56,3,401,7,3505906,51886,1,1990,71.31018001002198,107.92892109624947,5.781906487299079,772.8481671356435,13.491115137031183,1,0
Bauru,2001,724,10,40,2,31,3506003,322554,0,NA,224.45854027542674,3.1002560811523034,12.401024324609214,0.6200512162304607,9.61079385157214,0,0
Bebedouro,2001,50,117,4,508,9,3506102,75661,1,1986,66.08424419449915,154.637131415128,5.286739535559932,671.4159210161113,11.895163955009846,1,0
Bento de Abreu,2001,1,12,0,21,0,3506201,2401,0,NA,41.649312786339024,499.79175343606835,0,874.6355685131196,0,0,0
Bernardino de Campos,2001,6,91,1,57,1,3506300,10792,0,NA,55.59673832468495,843.2171979243884,9.266123054114159,528.169014084507,9.266123054114159,0,0
Bertioga,2001,47,936,18,232,3,3506359,33289,1,1994,141.1877797470636,2811.739613686203,54.071915647811586,696.9269127940161,9.011985941301932,1,0
Bilac,2001,3,66,1,51,0,3506409,6164,0,NA,48.66969500324465,1070.7332900713823,16.223231667748216,827.384815055159,0,0,0
Birigui,2001,223,353,24,601,8,3506508,96682,1,1995,230.65306882356592,365.1144990794563,24.823648662625928,621.6255352599243,8.274549554208644,1,0
Biritiba-Mirim,2001,3,114,1,182,5,3506607,25394,0,NA,11.81381428683941,448.9249428998976,3.937938095613137,716.7047334015908,19.689690478065685,0,0
Boa Esperança do Sul,2001,1,98,2,9,1,3506706,12818,0,NA,7.801529099703542,764.5498517709472,15.603058199407084,70.21376189733188,7.801529099703542,0,0
Bocaina,2001,7,110,1,49,0,3506805,9649,0,NA,72.546377862991,1140.0145092755724,10.36376826614157,507.82464504093684,0,0,0
Bofete,2001,8,84,1,35,2,3506904,7562,0,NA,105.79211848717271,1110.8172441153135,13.22401481089659,462.84051838138055,26.44802962179318,0,0
Boituva,2001,100,507,4,216,1,3507001,35577,1,1994,281.0804733395171,1425.0779998313517,11.243218933580684,607.1338224133569,2.810804733395171,1,0
Bom Jesus dos Perdões,2001,41,169,5,125,0,3507100,13625,0,NA,300.91743119266056,1240.366972477064,36.69724770642202,917.4311926605506,0,0,0
Bom Sucesso de Itararé,2001,1,13,1,10,0,3507159,3330,0,NA,30.03003003003003,390.3903903903904,30.03003003003003,300.3003003003003,0,0,0
Borá,2001,0,3,0,2,0,3507209,800,0,NA,0,375,0,250,0,0,0
Boracéia,2001,7,27,0,7,0,3507308,3743,0,NA,187.01576275714666,721.3465134918514,0,187.01576275714666,0,0,0
Borborema,2001,13,99,1,46,1,3507407,13306,1,1985,97.70028558545016,744.0252517661205,7.515406583496167,345.70870284082366,7.515406583496167,1,0
Borebi,2001,1,8,0,7,1,3507456,1998,0,NA,50.05005005005005,400.4004004004004,0,350.35035035035037,50.05005005005005,0,0
Botucatu,2001,275,210,13,723,13,3507506,110242,1,2004,249.45120734384355,190.49001288075326,11.792238892618059,655.8299014894505,11.792238892618059,0,0
Bragança Paulista,2001,366,369,10,1,14,3507605,127959,1,1954,286.02911870208425,288.37361967505217,7.815003243226346,0.7815003243226346,10.941004540516884,1,0
Braúna,2001,4,19,0,16,1,3507704,4393,0,NA,91.05394946505805,432.50625995902567,0,364.2157978602322,22.763487366264513,0,0
Brejo Alegre,2001,3,23,0,18,0,3507753,2349,0,NA,127.7139208173691,979.1400595998297,0,766.2835249042146,0,0,0
Brodowski,2001,15,270,1,187,0,3507803,17559,0,NA,85.42627712284299,1537.6729882111738,5.695085141522866,1064.980921464776,0,0,0
Brotas,2001,22,256,2,160,0,3507902,19415,1,2001,113.31444759206798,1318.568117434973,10.301313417460726,824.1050733968582,0,0,1
Buri,2001,5,295,3,166,2,3508009,18057,1,1999,27.6900924849089,1633.7154566096249,16.61405549094534,919.3110704989755,11.076036993963559,1,0
Buritama,2001,15,323,4,129,3,3508108,13972,0,NA,107.357572287432,2311.7663899227027,28.6286859433152,923.2751216719153,21.471514457486403,0,0
Buritizal,2001,1,26,0,18,0,3508207,3649,0,NA,27.40476842970677,712.523979172376,0,493.2858317347218,0,0,0
Cabrália Paulista,2001,1,75,0,33,0,3508306,4753,0,NA,21.039343572480536,1577.9507679360404,0,694.2983378918577,0,0,0
Cabreúva,2001,56,296,9,156,7,3508405,34838,1,1995,160.7440151558643,849.6469372524256,25.833859578621045,447.7868993627648,20.093001894483038,1,0
Caçapava,2001,338,400,18,243,5,3508504,77011,1,2011,438.89833919829636,519.4063185778655,23.373284336003948,315.53933853605326,6.492578982223319,0,0
Cachoeira Paulista,2001,10,231,1,253,2,3508603,27691,0,NA,36.11281643855404,834.2060597305984,3.611281643855404,913.6542558954172,7.222563287710808,0,0
Caconde,2001,17,91,2,127,2,3508702,18510,0,NA,91.84224743381955,491.6261480280929,10.804970286331713,686.1156131820637,10.804970286331713,0,0
Cafelândia,2001,5,137,2,160,2,3508801,15855,0,NA,31.5357931251971,864.0807316304006,12.61431725007884,1009.1453800063072,12.61431725007884,0,0
Caiabu,2001,0,16,0,21,0,3508900,4104,0,NA,0,389.8635477582846,0,511.69590643274853,0,0,0
Caieiras,2001,157,605,12,355,12,3509007,74751,1,1992,210.0306350416717,809.3537210204546,16.053296945860254,474.9100346483659,16.053296945860254,1,0
Caiuá,2001,1,22,0,24,1,3509106,4296,0,NA,23.277467411545622,512.1042830540038,0,558.659217877095,23.277467411545622,0,0
Cajamar,2001,67,571,14,292,9,3509205,52378,1,2018,127.91630073695063,1090.1523540417734,26.7287792584673,557.4859673908893,17.182786666157547,0,0
Cajati,2001,12,271,6,93,8,3509254,29678,0,NA,40.43399150886178,913.1343082417952,20.21699575443089,313.3634341936788,26.955994339241187,0,0
Cajobi,2001,0,28,0,38,0,3509304,9205,1,1987,0,304.1825095057034,0,412.81912004345463,0,1,0
Cajuru,2001,17,360,7,199,1,3509403,21046,1,1994,80.77544426494346,1710.5388197282145,33.260477050270836,945.5478475719852,4.751496721467262,1,0
Campina do Monte Alegre,2001,2,42,0,45,1,3509452,5344,1,2014,37.4251497005988,785.9281437125748,0,842.0658682634731,18.7125748502994,0,0
