id_municipio,ano,pib
3501806,2017,104201798
3501806,2018,117732464
3501905,2002,844727044
3501905,2003,1001852886
3501905,2004,1125891476
3501905,2005,1304280698
3501905,2006,1417084595
3501905,2007,1713199503
3501905,2008,1939529871
3501905,2009,2251931870
3501905,2010,2465216059
3501905,2011,2860090614
3501905,2012,3014108839
3501905,2013,3269150818
3501905,2014,3427813966
3501905,2015,3237532503
3501905,2016,4076977288
3501905,2017,4205649358
3501905,2018,4646509880
3502002,2002,56238777
3502002,2003,56448647
3502002,2004,57849427
3502002,2005,64611840
3502002,2006,85826833
3502002,2007,86037948
3502002,2008,104435293
3502002,2009,104989200
3502002,2010,98188262
3502002,2011,108598106
3502002,2012,110803122
3502002,2013,124137266
3502002,2014,135333824
3502002,2015,128799341
3502002,2016,146609706
3502002,2017,160416267
3502002,2018,183993634
3502101,2002,632577167
3502101,2003,687418763
3502101,2004,729679219
3502101,2005,733603640
3502101,2006,882519288
3502101,2007,927441467
3502101,2008,1131409377
3502101,2009,1261952820
3502101,2010,1422125828
3502101,2011,1731488404
3502101,2012,1861978496
3502101,2013,2032917275
3502101,2014,2106691004
3502101,2015,2634536280
3502101,2016,2202008517
3502101,2017,1976247675
3502101,2018,1922486331
3502200,2002,158043551
3502200,2003,188453379
3502200,2004,216881452
3502200,2005,235262938
3502200,2006,266529457
3502200,2007,324344477
3502200,2008,330357118
3502200,2009,466720012
3502200,2010,541193687
3502200,2011,684045485
3502200,2012,624706514
3502200,2013,669149266
3502200,2014,776322071
3502200,2015,744523991
3502200,2016,964451498
3502200,2017,987425627
3502200,2018,1008411936
3502309,2002,40184703
3502309,2003,53650616
3502309,2004,60791047
3502309,2005,61238203
3502309,2006,75287956
3502309,2007,96000371
3502309,2008,91876172
3502309,2009,108711739
3502309,2010,92814402
3502309,2011,89129767
3502309,2012,102812587
3502309,2013,106485670
3502309,2014,109800262
3502309,2015,99279944
3502309,2016,133367697
3502309,2017,156175816
3502309,2018,179886178
3502408,2002,20856342
3502408,2003,20847605
3502408,2004,20023435
3502408,2005,24333946
3502408,2006,29106963
3502408,2007,33259124
3502408,2008,44978165
3502408,2009,40577415
3502408,2010,40677723
3502408,2011,36844674
3502408,2012,53032594
3502408,2013,70036309
3502408,2014,62927969
3502408,2015,58980423
3502408,2016,69915687
3502408,2017,85031295
3502408,2018,74825193
3502507,2002,213517875
3502507,2003,226211235
3502507,2004,245077328
3502507,2005,280750986
3502507,2006,316758766
3502507,2007,361463676
3502507,2008,421118308
3502507,2009,462692846
3502507,2010,496062198
3502507,2011,591020979
3502507,2012,667000693
3502507,2013,760688647
3502507,2014,864488508
3502507,2015,1004345933
3502507,2016,1022046389
3502507,2017,1047692140
3502507,2018,1082773381
3502606,2002,23793718
3502606,2003,27459547
3502606,2004,25047609
3502606,2005,26051798
3502606,2006,33969449
3502606,2007,28805394
3502606,2008,34879922
3502606,2009,44206107
3502606,2010,54977351
3502606,2011,60221166
3502606,2012,60869283
3502606,2013,64319716
3502606,2014,80346820
3502606,2015,87330592
3502606,2016,103536932
3502606,2017,134356622
3502606,2018,128569452
3502705,2002,162433043
3502705,2003,184374492
3502705,2004,171830619
3502705,2005,179943920
3502705,2006,189096326
3502705,2007,260043593
3502705,2008,245906581
3502705,2009,302526742
3502705,2010,423372757
3502705,2011,462392955
3502705,2012,489004347
3502705,2013,654322664
3502705,2014,766777479
3502705,2015,700804407
3502705,2016,634769157
3502705,2017,651325031
3502705,2018,594687476
3502754,2002,232489423
3502754,2003,265686789
3502754,2004,312900608
3502754,2005,329825785
3502754,2006,485634734
3502754,2007,692535704
3502754,2008,949735653
3502754,2009,882535856
3502754,2010,1056801228
3502754,2011,1197477078
3502754,2012,1308235990
3502754,2013,1373829412
3502754,2014,1513862036
3502754,2015,1594211282
3502754,2016,2221023287
3502754,2017,2842563522
3502754,2018,3270859003
3502804,2002,1537148266
3502804,2003,1701082861
3502804,2004,1833827173
3502804,2005,2084731648
3502804,2006,2379934596
3502804,2007,2740849336
3502804,2008,3041328962
3502804,2009,3486769517
3502804,2010,4132001175
3502804,2011,4610651447
3502804,2012,5423054630
3502804,2013,6094591333
3502804,2014,6158182322
3502804,2015,6447731559
3502804,2016,6609261268
3502804,2017,6967839404
3502804,2018,7349421342
3502903,2002,103118201
3502903,2003,120643574
3502903,2004,127472163
3502903,2005,147981194
3502903,2006,172770275
3502903,2007,184954163
3502903,2008,195651518
3502903,2009,241840413
3502903,2010,315642521
3502903,2011,371409502
3502903,2012,414177686
3502903,2013,468026046
3502903,2014,519402000
3502903,2015,617215303
3502903,2016,600223726
3502903,2017,655310784
3502903,2018,861981608
3503000,2002,44297298
3503000,2003,46873547
3503000,2004,44442491
3503000,2005,52554322
3503000,2006,75962037
3503000,2007,68382972
3503000,2008,74914001
3503000,2009,90320280
3503000,2010,73151837
3503000,2011,82832757
3503000,2012,94376654
3503000,2013,115468315
3503000,2014,110708634
3503000,2015,111884456
3503000,2016,109869378
3503000,2017,150201597
3503000,2018,126608221
3503109,2002,26375340
3503109,2003,30025786
3503109,2004,34933750
3503109,2005,33665205
3503109,2006,37603765
3503109,2007,44566293
3503109,2008,46994134
3503109,2009,63131395
3503109,2010,69890442
3503109,2011,71285529
3503109,2012,66454003
3503109,2013,71378046
3503109,2014,81564139
3503109,2015,81697608
3503109,2016,133775282
3503109,2017,123456822
3503109,2018,117579437
3503158,2002,8133926
3503158,2003,8884728
3503158,2004,9691117
3503158,2005,11891117
3503158,2006,14972214
3503158,2007,13254278
3503158,2008,15524353
3503158,2009,20563479
3503158,2010,22642913
3503158,2011,20751849
3503158,2012,23909530
3503158,2013,22581132
3503158,2014,23664105
3503158,2015,24320969
3503158,2016,27601776
3503158,2017,29846463
3503158,2018,30703810
3503208,2002,2215718098
3503208,2003,2595538578
3503208,2004,2523733797
3503208,2005,2965408664
3503208,2006,3397087909
3503208,2007,3622734294
3503208,2008,4160727579
3503208,2009,4474404993
3503208,2010,5474437459
3503208,2011,6116560089
3503208,2012,6928528345
3503208,2013,7531613778
3503208,2014,7937076581
3503208,2015,8337723361
3503208,2016,9012929739
3503208,2017,9289707228
3503208,2018,9409114424
3503307,2002,1439930641
3503307,2003,1648279892
3503307,2004,1633589202
3503307,2005,1898850784
3503307,2006,2204429697
3503307,2007,2500071862
3503307,2008,2678748150
3503307,2009,2952437383
3503307,2010,3211625072
3503307,2011,3671007901
3503307,2012,4037143491
3503307,2013,4211377372
3503307,2014,4371347129
3503307,2015,4565385010
3503307,2016,5014670965
3503307,2017,5381996672
3503307,2018,5565138216
3503356,2002,17669567
3503356,2003,17203390
3503356,2004,24110646
3503356,2005,25467519
3503356,2006,24467292
3503356,2007,30307423
3503356,2008,31961051
3503356,2009,37873295
3503356,2010,29668037
3503356,2011,31436310
3503356,2012,35517046
3503356,2013,32972200
3503356,2014,34627229
3503356,2015,42963535
3503356,2016,53055459
3503356,2017,48214589
3503356,2018,53015126
3503406,2002,39842316
3503406,2003,46839274
3503406,2004,46703100
3503406,2005,48762824
3503406,2006,58498924
3503406,2007,104272201
3503406,2008,130087001
3503406,2009,153716236
3503406,2010,124566455
3503406,2011,120660679
3503406,2012,129932083
3503406,2013,139485837
3503406,2014,136507395
3503406,2015,137092915
3503406,2016,174405571
3503406,2017,212988913
3503406,2018,230787867
3503505,2002,15850965
3503505,2003,35995559
3503505,2004,13781506
3503505,2005,18256423
3503505,2006,20529839
3503505,2007,20155094
3503505,2008,21095723
3503505,2009,24706846
3503505,2010,23168753
3503505,2011,25370019
3503505,2012,29683457
3503505,2013,34898759
3503505,2014,36538522
3503505,2015,36969464
3503505,2016,39720322
3503505,2017,43617429
3503505,2018,43127618
3503604,2002,47487549
3503604,2003,49423266
3503604,2004,47998553
3503604,2005,58554212
3503604,2006,72405744
3503604,2007,71467240
3503604,2008,68250475
3503604,2009,82334039
3503604,2010,70979808
3503604,2011,81176361
3503604,2012,103648510
3503604,2013,112669943
3503604,2014,111755572
3503604,2015,112788830
3503604,2016,126452595
3503604,2017,136809241
3503604,2018,143002102
3503703,2002,141008095
3503703,2003,156886500
3503703,2004,129691988
3503703,2005,199690218
3503703,2006,282746562
3503703,2007,255703821
3503703,2008,277674854
3503703,2009,317657371
3503703,2010,439155481
3503703,2011,489098906
3503703,2012,529137112
3503703,2013,472465864
3503703,2014,571813838
3503703,2015,584094987
3503703,2016,653298761
3503703,2017,770043863
3503703,2018,728583054
3503802,2002,225885931
3503802,2003,235117204
3503802,2004,263849699
3503802,2005,309387950
3503802,2006,350305075
3503802,2007,418426561
3503802,2008,444240918
3503802,2009,505500775
3503802,2010,572380241
3503802,2011,662126497
3503802,2012,713653408
3503802,2013,799657513
