id_municipio,ano,pop
3503802,2020,55340
3503901,2001,61715
3503901,2002,63722
3503901,2003,65828
3503901,2004,70248
3503901,2005,72694
3503901,2006,75122
3503901,2007,72713
3503901,2008,78960
3503901,2009,80922
3503901,2010,74905
3503901,2011,76112
3503901,2012,77279
3503901,2013,81326
3503901,2014,82651
3503901,2015,83939
3503901,2016,85199
3503901,2017,86430
3503901,2018,88455
3503901,2019,89824
3503901,2020,91157
3503950,2001,1849
3503950,2002,1840
3503950,2003,1831
3503950,2004,1811
3503950,2005,1800
3503950,2006,1789
3503950,2007,1790
3503950,2008,1831
3503950,2009,1826
3503950,2010,1809
3503950,2011,1805
3503950,2012,1802
3503950,2013,1854
3503950,2014,1851
3503950,2015,1848
3503950,2016,1845
3503950,2017,1842
3503950,2018,1825
3503950,2019,1822
3503950,2020,1818
3504008,2001,88535
3504008,2002,89657
3504008,2003,90774
3504008,2004,93118
3504008,2005,94415
3504008,2006,95703
3504008,2007,92965
3504008,2008,97725
3504008,2009,98715
3504008,2010,95144
3504008,2011,95750
3504008,2012,96336
3504008,2013,100204
3504008,2014,100911
3504008,2015,101597
3504008,2016,102268
3504008,2017,102924
3504008,2018,103666
3504008,2019,104386
3504008,2020,105087
3504107,2001,114090
3504107,2002,116553
3504107,2003,118990
3504107,2004,124108
3504107,2005,126940
3504107,2006,129751
3504107,2007,119166
3504107,2008,125418
3504107,2009,126757
3504107,2010,126603
3504107,2011,127778
3504107,2012,128914
3504107,2013,134567
3504107,2014,135895
3504107,2015,137187
3504107,2016,138449
3504107,2017,139683
3504107,2018,141398
3504107,2019,142761
3504107,2020,144088
3504206,2001,13604
3504206,2002,13670
3504206,2003,13743
3504206,2004,13897
3504206,2005,13982
3504206,2006,14066
3504206,2007,13760
3504206,2008,14298
3504206,2009,14366
3504206,2010,14202
3504206,2011,14255
3504206,2012,14307
3504206,2013,14831
3504206,2014,14897
3504206,2015,14961
3504206,2016,15024
3504206,2017,15085
3504206,2018,15123
3504206,2019,15189
3504206,2020,15253
3504305,2001,4590
3504305,2002,4586
3504305,2003,4581
3504305,2004,4571
3504305,2005,4566
3504305,2006,4561
3504305,2007,4877
3504305,2008,5121
3504305,2009,5170
3504305,2010,4959
3504305,2011,4987
3504305,2012,5014
3504305,2013,5210
3504305,2014,5243
3504305,2015,5275
3504305,2016,5306
3504305,2017,5337
3504305,2018,5369
3504305,2019,5403
3504305,2020,5436
3504404,2001,8930
3504404,2002,9009
3504404,2003,9093
3504404,2004,9268
3504404,2005,9365
3504404,2006,9462
3504404,2007,10875
3504404,2008,11816
3504404,2009,12112
3504404,2010,11310
3504404,2011,11500
3504404,2012,11685
3504404,2013,12307
3504404,2014,12516
3504404,2015,12719
3504404,2016,12918
3504404,2017,13112
3504404,2018,13433
3504404,2019,13649
3504404,2020,13859
3504503,2001,78278
3504503,2002,79706
3504503,2003,81207
3504503,2004,84358
3504503,2005,86102
3504503,2006,87833
3504503,2007,80026
3504503,2008,83744
3504503,2009,84416
3504503,2010,82934
3504503,2011,83430
3504503,2012,83910
3504503,2013,87238
3504503,2014,87820
3504503,2015,88385
3504503,2016,88938
3504503,2017,89479
3504503,2018,90063
3504503,2019,90655
3504503,2020,91232
3504602,2001,12253
3504602,2002,12777
3504602,2003,13347
3504602,2004,14543
3504602,2005,15204
3504602,2006,15861
3504602,2007,13039
3504602,2008,13898
3504602,2009,14127
3504602,2010,14603
3504602,2011,14837
3504602,2012,15065
3504602,2013,15851
3504602,2014,16109
3504602,2015,16359
3504602,2016,16604
3504602,2017,16843
3504602,2018,17236
3504602,2019,17502
3504602,2020,17761
3504701,2001,1324
3504701,2002,1332
3504701,2003,1341
3504701,2004,1360
3504701,2005,1371
3504701,2006,1381
3504701,2007,3619
3504701,2008,4385
3504701,2009,4697
3504701,2010,3702
3504701,2011,3885
3504701,2012,4063
3504701,2013,4433
